추정가격,예정가격,입찰계약방법,낙찰율,낙찰금액
663100000,722447825,제한경쟁,88.505,639407900
193660000,210319550,제한경쟁,88.501,186134917
2607200000,2888984950,제한경쟁,87.298,2522029140
201330000,220688475,제한경쟁,88.549,195418546
200951000,220449875,제한경쟁,87.972,193934700
41902728,45911125,제한경쟁,87.763,40293000
207720000,228951900,제한경쟁,88.388,202368100
499910000,547742675,제한경쟁,88.162,482902500
220000000,241441025,제한경쟁,88.404,213444200
180909091,197934400,제한경쟁,88.611,175393000
198020000,216870725,제한경쟁,88.385,191683000
345654546,381648725,제한경쟁,88.325,337094765
410909091,449456400,제한경쟁,88.424,397429810
541727273,597948475,제한경쟁,88.437,528808880
182430000,202279950,제한경쟁,88.509,179036300
223943636,243860500,제한경쟁,88.629,216132000
218336364,235907625,제한경쟁,88.979,209910000
1399371819,1537588875,제한경쟁,87.631,1347416500
216397274,239465875,제한경쟁,88.297,211442300
7660200000,8381877100,제한경쟁,86.717,7268543000
